Идентификатор УБИ,Наименование УБИ,Описание,Лемматизированное описание
113,Угроза перезагрузки аппаратных и программно-аппаратных средств вычислительной техники,"Угроза заключается в возможности сброса пользователем (нарушителем) состояния оперативной памяти (обнуления памяти) путём случайного или намеренного осуществления перезагрузки отдельных устройств, блоков или системы в целом._x000D_
Данная угроза обусловлена свойством оперативной памяти обнулять своё состояние при выключении и перезагрузке._x000D_
Реализация данной угрозы возможна как аппаратным способом (нажатием кнопки), так и программным (локально или удалённо) при выполнении следующих условий:_x000D_
наличие в системе открытых сессий работы пользователей;_x000D_
наличие у нарушителя прав в системе (или физической возможности) на осуществление форсированной перезагрузки","сброс состояние оперативный память обнуление память случайный перезагрузка отдельный устройство блок система оперативный память обнулять состояние выключение перезагрузка аппаратный способ нажатие кнопка программный локально удалённый выполнение открытый сессия физический возможность осуществление форсировать перезагрузка
"
114,Угроза переполнения целочисленных переменных,"Угроза заключается в возможности приведения нарушителем дискредитируемого приложения к сбоям в работе путём подачи на его входные интерфейсы данных неподдерживаемого формата или выполнения с его помощью операции, в результате которой будут получены данные неподдерживаемого дискредитируемым приложением формата._x000D_
Данная угроза обусловлена уязвимостями программного обеспечения, связанными с недостаточной проверкой такими приложениями корректности входных данных, а также тем, что операторы любого программного обеспечения способны правильно обрабатывать только определённые типы данных (например, только целые или только положительные числа)._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя:_x000D_
сведений о номенклатуре поддерживаемых дискредитируемым приложением форматов входных (или обрабатываемых) данных;_x000D_
возможности взаимодействия с входным интерфейсом дискредитируемого приложения","сбой работа подача входной интерфейс данные неподдерживаемый формат недостаточный проверка корректность входной данные правильно обрабатывать определённый тип данные целый положительный число номенклатура поддерживать формат входной обрабатывать данные возможность взаимодействие входной интерфейс дискредитировать приложение
"
115,Угроза перехвата вводимой и выводимой на периферийные устройства информации,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к информации, вводимой и выводимой на периферийные устройства, путём перехвата данных, обрабатываемых контроллерами периферийных устройств._x000D_
Данная угроза обусловлена недостаточностью мер защиты информации от утечки и контроля потоков данных, а также невозможностью осуществления защиты вводимой и выводимой на периферийные устройства информации с помощью криптографических средств (т.к. представление пользователям системы информации должно осуществляться в доступном для понимания виде)._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя привилегий на установку и запуск специализированных вредоносных программ, реализующих функции «клавиатурных шпионов» (для получения нарушителем паролей пользователей), виртуальных драйверов принтеров (перехват документов, содержащих защищаемую информацию) и др.","вводить выводить периферийный устройство перехват данные обрабатывать контроллер периферийный устройство недостаточность мера защита информация утечка контроль поток данные защита вводить выводить периферийный устройство информация помощь криптографический средство установка запуск специализированный вредоносный программа реализовать функция клавиатурный шпион получение нарушитель пароль пользователь виртуальный драйвер принтер перехват документ содержать защищать информация
"
116,"Угроза перехвата данных, передаваемых по вычислительной сети","Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к сетевому трафику дискредитируемой вычислительной сети в пассивном («прослушивание» трафика) или активном (подмена пакетов, изменение их содержимого) режиме для сбора и анализа сведений (например, аутентификационной информации), которые могут быть использованы в дальнейшем для реализации других угроз, оставаясь при реализации данной угрозы невидимым (скрытным) получателем перехватываемых данных. Кроме того, нарушитель может проводить исследования других типов потоков данных, например, радиосигналов._x000D_
Данная угроза обусловлена слабостями механизмов сетевого взаимодействия, предоставляющими сторонним пользователям открытые данные о дискредитируемой системе, а также ошибками конфигурации сетевого программного обеспечения._x000D_
Реализация данной угрозы возможна в следующих условиях:_x000D_
наличие у нарушителя доступа к дискредитируемой вычислительной сети;_x000D_
неспособность технологий, с помощью которых реализована передача данных, предотвратить возможность осуществления скрытного прослушивания потока данных","сетевой трафик пассивный прослушивание трафик активный подмена пакет изменение содержимое режим сбор анализ сведение скрытный получатель перехватывать данные исследование тип поток данные радиосигнал слабость механизм сетевой взаимодействие предоставлять сторонний пользователь открытый ошибка конфигурация сетевой программный обеспечение реализация осуществление скрытный прослушивание поток данные
"
117,Угроза перехвата привилегированного потока,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к потоку данных, созданного приложением с дополнительными привилегиями (к привилегированному потоку данных), путём синхронного (вызов привилегированной функции, возвращающей неправильное значение) или асинхронного (создание обратных вызовов, манипулирование указателями и т.п.) деструктивного программного воздействия на него._x000D_
Данная угроза обусловлена уязвимостями программного обеспечения, использующего в своей работе участки кода, исполняемого с дополнительными правами, наследуемыми создаваемыми привилегированными потоками (наличие ошибочных указателей, некорректное освобождение памяти и т.п.)._x000D_
Реализация данной угрозы возможна в следующих условиях:_x000D_
в дискредитируемом приложении существуют участки кода, требующие исполнения с правами, превышающими права обычных пользователей;_x000D_
нарушитель обладает привилегиями, позволяющими вносить изменения во входные данные дискредитируемого приложения","доступ поток данные дополнительный привилегия привилегированный поток данные путём синхронный вызов привилегированный функция возвращать неправильный значение асинхронный обратный вызов манипулирование указатель код исполняемый дополнительный право наследовать создавать привилегированный поток ошибочный указатель привилегия позволять вносить изменение входной
"
118,Угроза перехвата привилегированного процесса,"Угроза заключается в возможности получения нарушителем права управления процессом, обладающим высокими привилегиями (например, унаследованными от пользователя или группы пользователей, выполняющих роль администраторов дискредитируемой системы), для выполнения произвольного вредоносного кода с правами дискредитированного процесса._x000D_
Данная угроза обусловлена уязвимостями программного обеспечения, выполняющего функции разграничения доступа (в алгоритме или параметрах конфигурации), приводящими к некорректному распределению прав доступа внутри древа наследуемых процессов._x000D_
Реализация данной угрозы возможна при выполнении одного из условий:_x000D_
успешного введения нарушителем некорректных данных, приводящих к переполнению буфера или к реализации некоторых типов программных инъекций;_x000D_
наличия у нарушителя привилегий на запуск системных утилит, предназначенных для управления процессами","право управление процесс обладать высокий привилегия унаследовать пользователь группа пользователь выполнять роль администратор выполнять функция разграничение доступ алгоритм параметр конфигурация приводить некорректный распределение право доступ внутри древо наследовать некорректный данные приводить переполнение буфер реализация некоторый тип программный инъекция наличие нарушитель привилегия запуск системный утилит предназначить управление процесс
"
119,Угроза перехвата управления гипервизором,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к информационным, программным и вычислительным ресурсам, зарезервированным и управляемым гипервизором, за счёт получения нарушителем права управления гипервизором путём эксплуатации уязвимостей консоли управления гипервизором._x000D_
Данная угроза обусловлена наличием у консоли управления гипервизором программных интерфейсов взаимодействия с другими субъектами доступа (процессами, программами) и, как следствие, возможностью несанкционированного доступа к данной консоли (программа уровня виртуализации), а также недостаточностью мер по разграничению доступа к данной консоли._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя прав на осуществление взаимодействия с консолью управления гипервизором","вычислительный ресурс зарезервированный управляемый гипервизор получение нарушитель право управление гипервизор эксплуатация уязвимость консоль управление гипервизор программный интерфейс доступ процесс программа следствие возможность несанкционированный доступ дать консоль программа уровень виртуализация недостаточность мера разграничение доступ досуществление взаимодействие консоль управление гипервизор
"
120,Угроза перехвата управления средой виртуализации,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к информационным, программным и вычислительным ресурсам, зарезервированным и управляемым всеми гипервизорами, реализующими среду виртуализации, за счёт получения нарушителем права управления этими гипервизорами путём эксплуатации уязвимостей консоли средства управления виртуальной инфраструктурой._x000D_
Данная угроза обусловлена наличием у консоли средства управления виртуальной инфраструктурой, реализуемого в рамках одной из виртуальных машин, программных интерфейсов взаимодействия с другими субъектами доступа (процессами, программами) и, как следствие, возможностью несанкционированного доступа к данной консоли (программа уровня управления виртуализации), а также недостаточностью мер по разграничению доступа к данной консоли._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя прав на осуществление взаимодействия с консолью средства управления виртуальной инфраструктурой","зарезервированный управляемый гипервизора реализовать среда виртуализация управление консоль средство управление виртуальный инфраструктура рамка один виртуальный машина программный интерфейс взаимодействие доступ процесс программа недостаточность мера разграничение доступ дать консоль реализация дать угроза возможный условие наличие нарушитель право осуществление взаимодействие консоль средство управление виртуальный инфраструктура
"
121,Угроза повреждения системного реестра,"Угроза заключается в возможности нарушения доступности части функционала или всей информационной системы из-за повреждения используемого в её работе реестра вследствие некорректного завершения работы операционной системы (неконтролируемая перезагрузка, возникновения ошибок в работе драйверов устройств и т.п.), нарушения целостности файлов, содержащих в себе данные реестра, возникновения ошибок файловой системы носителя информации или вследствие осуществления нарушителем деструктивного программного воздействия на файловые объекты, содержащие реестр._x000D_
Данная угроза обусловлена слабостями мер контроля доступа к файлам, содержащим данные реестра, мер резервирования и контроля целостности таких файлов, а также мер восстановления работоспособности реестра из-за сбоев в работе операционной системы._x000D_
Реализация данной угрозы возможна при одном из условий:_x000D_
возникновения ошибок в работе отдельных процессов или всей операционной системы;_x000D_
наличии у нарушителя прав доступа к реестру или файлам, содержащим в себе данные реестра","нарушение доступность повреждение реестр некорректный завершение работа операционный система неконтролируемый перезагрузка возникновение ошибка работа драйвер нарушение целостность файл реестр возникновение ошибка файловый система носитель информация воздействие файловый объект содержать реестр слабость мера контроль доступ файл реестр резервирование контроль целостность восстановление работоспособность реестр сбой работа операционный система право доступ реестр файл содержать
"
122,Угроза повышения привилегий,"Угроза заключается в возможности осуществления нарушителем деструктивного программного воздействия на дискредитируемый процесс (или систему) или на другие процессы (или системы) от его (её) имени путём эксплуатации неправомерно полученных нарушителем дополнительных прав на управление дискредитированным объектом._x000D_
Данная угроза обусловлена уязвимостями программного обеспечения, выполняющего функции разграничения доступа (в алгоритме или параметрах конфигурации)._x000D_
Реализация данной угрозы возможна при наличии у нарушителя программного обеспечения (типа «эксплойт»), специально разработанного для реализации данной угрозы в дискредитируемой системе","неправомерно дополнительный право управление разграничение доступ алгоритм параметр конфигурация эксплойт специально разработать повышение привелегия высокий привилегии
"
123,Угроза подбора пароля BIOS,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к настройкам BIOS/UEFI путём входа в консоль BIOS/UEFI по паролю, подобранному программно или «вручную» с помощью методов тотального перебора вариантов или подбора по словарю._x000D_
Данная угроза обусловлена слабостями механизма аутентификации, реализуемого в консолях BIOS/UEFI._x000D_
Реализация данной угрозы возможна в одном из следующих случаев:_x000D_
нарушитель может осуществить физический доступ к компьютеру и имеет возможность его перезагрузить;_x000D_
нарушитель обладает специальным программным средством перебора паролей BIOS/UEFI и привилегиями в системе на установку и запуск таких средств","вход консоль пароль подобрать программно вручную метод тотальный перебор вариант подбор словарь слабость механизм аутентификация физический доступ компьютер иметь возможность перезагрузить нарушитель обладать специальный программный средство перебор пароль привилегия
"
124,Угроза подделки записей журнала регистрации событий,"Угроза заключается в возможности внесения нарушителем изменений в журналы регистрации событий безопасности дискредитируемой системы (удаление компрометирующих нарушителя записей или подделка записей о не произошедших событиях) для введения в заблуждение её администраторов или сокрытия следов реализации других угроз._x000D_
Данная угроза обусловлена недостаточностью мер по разграничению доступа к журналу регистрации событий безопасности._x000D_
Реализация данной угрозы возможна в одном из следующих случаев:_x000D_
технология ведения журналов регистрации событий безопасности предполагает возможность их редактирования и нарушитель обладает необходимыми для этого привилегиями;_x000D_
технология ведения журналов регистрации событий безопасности не предполагает возможность их редактирования, но нарушитель обладает привилегиями, необходимыми для осуществления записи в файлы журналов, а также специальными программными средствами, способными обрабатывать файлы журналов используемого в дискредитируемой системе формата","внесение изменение журнал регистрация событие безопасность удаление запись подделка запись произойти событие введение заблуждение её администратор сокрытие недостаточность мера разграничение доступ журнал регистрация событие безопасность журнал регистрация редактирование нарушитель обладать необходимый привилегия технология ведение журнал регистрация событие безопасность привилегия осуществление запись файл журнал также специальный программный средство способный обрабатывать файл журнал использовать дискредитировать система формат
"
125,Угроза подключения к беспроводной сети в обход процедуры аутентификации,"Угроза заключается в возможности осуществления нарушителем перехвата трафика беспроводной сети или других неправомерных действий путём легализации нарушителем собственного подключения к беспроводной сети в полуавтоматическом режиме (например, WPS) без ввода ключа шифрования._x000D_
Данная угроза обусловлена слабостями процедуры аутентификации беспроводных устройств в ходе полуавтоматического подключения._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя физического доступа к беспроводной точке доступа, поддерживающей полуавтоматический режим подключения","перехват трафик беспроводный сеть неправомерный действие легализация нарушитель собственный подключение беспроводный сеть полуавтоматический режим ввод ключ шифрование слабость процедура аутентификация беспроводный устройство подключение нарушитель физический доступ беспроводный точка доступ поддерживать полуавтоматический режим подключение
"
126,Угроза подмены беспроводного клиента или точки доступа,"Угроза заключается в возможности получения нарушителем аутентификационной или другой защищаемой информации, передаваемой в ходе автоматического подключения точек беспроводного доступа или клиентского программного обеспечения к доверенным субъектам сетевого взаимодействия, подменённым нарушителем._x000D_
Данная угроза обусловлена слабостями механизма аутентификации субъектов сетевого взаимодействия при беспроводном доступе._x000D_
Реализация данной угрозы возможна в случае размещения нарушителем клиента или точки беспроводного доступа со специально сформированными параметрами работы (такими как MAC-адрес, название, используемый стандарт передачи данных и т.п.) в зоне доступности для дискредитируемых устройств беспроводного доступа","аутентификационный передаваемый ход автоматический подключение точка беспроводный доступ клиентский программный обеспечение доверенный сетевой взаимодействие подменить слабость механизм аутентификация сетевой взаимодействие беспроводный доступ клиент точка беспроводный доступ специально сформировать параметр работа такой адрес название использовать стандарт передача данные зона доступность устройство беспроводный доступ
"
127,Угроза подмены действия пользователя путём обмана,"Угроза заключается в возможности нарушителя выполнения неправомерных действий в системе от имени другого пользователя с помощью методов социальной инженерии (обмана пользователя, навязывание ложных убеждений) или технических методов (использование прозрачных кнопок, подмена надписей на элементах управления и др.)_x000D_
Данная угроза обусловлена слабостями интерфейса взаимодействия с пользователем или ошибками пользователя._x000D_
Реализация данной угрозы возможна при условии наличия у дискредитируемого пользователя прав на проведение нужных от него нарушителю операций","неправомерный действие система имя другой пользователь социальный инженерия обман пользователь навязывание ложный убеждение технический метод использование прозрачный подмена надпись элемент управление слабость интерфейс взаимодействие пользователь ошибка пользователь проведение нужный нарушитель операция
"
128,Угроза подмены доверенного пользователя,"Угроза заключается в возможности нарушителя выдавать себя за легитимного пользователя и выполнять приём/передачу данных от его имени. Данную угрозу можно охарактеризовать как «имитация действий клиента»._x000D_
Данная угроза обусловлена слабостями технологий сетевого взаимодействия, зачастую не позволяющими выполнить проверку подлинности источника/получателя информации._x000D_
Реализация данной угрозы возможна при наличии у нарушителя подключения к вычислительной сети, а также сведений о конфигурации сетевых устройств, типе используемого программного обеспечения и т.п.","выполнять приёмпередача данные имя имитация действие клиент слабость технология сетевой взаимодействие позволять выполнить проверка подлинность источника получатель информация подключение вычислительный сеть также сведение конфигурация сетевой устройство тип
"
129,Угроза подмены резервной копии программного обеспечения BIOS,"Угроза заключается в возможности опосредованного внедрения нарушителем в BIOS/UEFI дискредитируемого компьютера вредоносного кода, путём ожидания или создания необходимости выполнения процедуры восстановления предыдущей версии программного обеспечения BIOS/UEFI, предварительно подменённой нарушителем._x000D_
Данная угроза обусловлена недостаточностью мер разграничения доступа и контроля целостности резервных копий программного обеспечения BIOS/UEFI._x000D_
Реализация данной угрозы возможна в следующих условиях:_x000D_
нарушитель успешно подменил резервную копию программного обеспечения BIOS/UEFI;_x000D_
возникла необходимость восстановления предыдущей версии программного обеспечения BIOS/UEFI (данное условие может произойти как случайно, так и быть спровоцировано нарушителем)","процедура восстановление предыдущий версия программный обеспечение подменить недостаточность мера разграничение доступ контроль целостность резервный копия подменить резервный копия программный обеспечение восстановление предыдущий версия программный обеспечение данный условие произойти случайно
"
130,Угроза подмены содержимого сетевых ресурсов,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к защищаемым данным пользователей сети или проведения различных мошеннических действий путём скрытной подмены содержимого хранящихся (сайты, веб-страницы) или передаваемых (электронные письма, сетевые пакеты) по сети данных._x000D_
Данная угроза обусловлена слабостями технологий сетевого взаимодействия, зачастую не позволяющими выполнить проверку подлинности содержимого электронного сообщения._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя прав на доступ к сетевым ресурсам и отсутствии у пользователя сети мер по обеспечению их целостности","подмена искажать пакет служба
"
131,Угроза подмены субъекта сетевого доступа,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к защищаемым данным пользователей сети или проведения различных мошеннических действий путём скрытной подмены в отправляемых дискредитируемым пользователем сетевых запросах сведений об отправителе сообщения. Данную угрозу можно охарактеризовать как «имитация действий сервера»._x000D_
Данная угроза обусловлена слабостями технологий сетевого взаимодействия, зачастую не позволяющими выполнить проверку подлинности источника информации._x000D_
Реализация данной угрозы возможна при условии успешной выдачи себя нарушителем за законного отправителя (например, с помощью ложных фишинговых веб-сайтов). Ключевое отличие от «угрозы подмены содержимого сетевых ресурсов» заключается в том, что в данном случае нарушитель не изменяет оригинального содержимого электронного ресурса (веб-сайта, электронного письма), а только служебные сведения","сеть проведение различный мошеннический действие скрытный подмена отправлять сетевой запрос сведение отправитель сообщение имитация действие сервер слабость технология сетевой взаимодействие зачастую позволять выполнить проверка подлинность источник информация выдача нарушитель законный отправитель ложный фишинговый вебсайт подмена содержимое сетевой ресурс заключаться данный случай нарушитель изменять оригинальный содержимое электронный ресурс вебсайт электронный письмо служебный сведение
"
132,Угроза получения предварительной информации об объекте защиты,"Угроза заключается в возможности раскрытия нарушителем защищаемых сведений о состоянии защищённости дискредитируемой системы, её конфигурации и потенциальных уязвимостях и др., путём проведения мероприятий по сбору и анализу доступной информации о системе._x000D_
Данная угроза обусловлена наличием уязвимостей в сетевом программном обеспечении, позволяющим получить сведения о конфигурации отдельных программ или системы в целом (отсутствие контроля входных данных, наличие открытых сетевых портов, неправильная настройка политик безопасности и т.п.)._x000D_
Реализация данной угрозы возможна при условии получения информации о дискредитируемой системе с помощью хотя бы одного из следующих способов изучения дискредитируемой системы:_x000D_
анализ реакций системы на сетевые (в т.ч. синтаксически неверные или нестандартные) запросы к открытым в системе сетевым сервисам, которые могут стать причиной вызова необработанных исключений с подробными сообщениями об ошибках, содержащих защищаемую информацию (о трассировке стека, о конфигурации системы, о маршруте прохождения сетевых пакетов)_x000D_
анализ реакций системы на строковые URI-запросы (в т.ч. неверные SQL-запросы, альтернативные пути доступа к файлам)._x000D_
Данная угроза отличается от угрозы перехвата данных и других угроз сбора данных тем, что нарушитель активно опрашивает дискредитируемую систему, а не просто за ней наблюдает","раскрытиесведение состояние система её конфигурация потенциальный уязвимость сбор анализ доступный информация система уязвимость сетевой программный обеспечение сведение конфигурация отдельный программа система целое отсутствие контроль входной данные наличие открытый сетевой порт неправильный настройка политик безопасность синтаксически неверный нестандартный запрос открытый система сетевой сервис необработанный исключение подробный сообщение ошибка содержать защищать информация трассировка стек конфигурация система маршрут прохождение сетевой пакет анализ реакция система строковый запрос доступ файл дать угроза отличаться угроза перехват данные другой угроза сбор данные нарушитель активно опрашивать дискредитировать система просто наблюдать
"
